task,seed,model,macro_f1,accuracy,balanced_accuracy
cmw_new_threeway,0,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,0,text_logreg,0.47300592128178337,0.7735849056603774,0.48787878787878786
cmw_new_threeway,0,text_mlp_oversampled,0.29213483146067415,0.7358490566037735,0.29545454545454547
cmw_new_threeway,0,gcn_weighted,0.44696969696969696,0.7358490566037735,0.41363636363636364
cmw_new_threeway,0,graphsage_tinybert,0.25396825396825395,0.6037735849056604,0.24242424242424243
cmw_new_threeway,1,majority,0.2986111111111111,0.8113207547169812,0.3333333333333333
cmw_new_threeway,1,text_logreg,0.5758087201125176,0.7547169811320755,0.6635658914728683
cmw_new_threeway,1,text_mlp_oversampled,0.4666666666666666,0.6981132075471698,0.5224806201550387
cmw_new_threeway,1,gcn_weighted,0.2826086956521739,0.7358490566037735,0.3023255813953488
cmw_new_threeway,1,graphsage_tinybert,0.37324464153732445,0.6226415094339622,0.37364341085271313
cmw_new_threeway,2,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,2,text_logreg,0.4069264069264069,0.7169811320754716,0.4227272727272728
cmw_new_threeway,2,text_mlp_oversampled,0.4000000000000001,0.6981132075471698,0.4151515151515151
cmw_new_threeway,2,gcn_weighted,0.35000000000000003,0.6415094339622641,0.4090909090909091
cmw_new_threeway,2,graphsage_tinybert,0.4948559670781893,0.6792452830188679,0.5424242424242425
cmw_new_threeway,3,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,3,text_logreg,0.6434108527131782,0.8490566037735849,0.6696969696969696
cmw_new_threeway,3,text_mlp_oversampled,0.3957219251336898,0.6981132075471698,0.39848484848484844
cmw_new_threeway,3,gcn_weighted,0.2905982905982906,0.5471698113207547,0.2787878787878788
cmw_new_threeway,3,graphsage_tinybert,0.4454545454545455,0.7735849056603774,0.4454545454545455
cmw_new_threeway,4,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,4,text_logreg,0.5071351412814827,0.7547169811320755,0.5893939393939395
cmw_new_threeway,4,text_mlp_oversampled,0.5930996714129244,0.8113207547169812,0.6712121212121213
cmw_new_threeway,4,gcn_weighted,0.34962406015037595,0.5849056603773585,0.353030303030303
cmw_new_threeway,4,graphsage_tinybert,0.36833046471600683,0.6792452830188679,0.42424242424242425
cmw_new_threeway,5,majority,0.2986111111111111,0.8113207547169812,0.3333333333333333
cmw_new_threeway,5,text_logreg,0.5149051490514905,0.7547169811320755,0.5457364341085271
cmw_new_threeway,5,text_mlp_oversampled,0.4528416697091396,0.7169811320754716,0.4713178294573644
cmw_new_threeway,5,gcn_weighted,0.28205128205128205,0.5283018867924528,0.275968992248062
cmw_new_threeway,5,graphsage_tinybert,0.296243798724309,0.6226415094339622,0.3147286821705426
cmw_new_threeway,6,majority,0.3024054982817869,0.8301886792452831,0.3333333333333333
cmw_new_threeway,6,text_logreg,0.5447121820615797,0.7547169811320755,0.5727272727272728
cmw_new_threeway,6,text_mlp_oversampled,0.510466106851649,0.7169811320754716,0.5742424242424242
cmw_new_threeway,6,gcn_weighted,0.2951844903064415,0.5849056603773585,0.29393939393939394
cmw_new_threeway,6,graphsage_tinybert,0.2986111111111111,0.8113207547169812,0.32575757575757575
cmw_new_threeway,7,majority,0.2986111111111111,0.8113207547169812,0.3333333333333333
cmw_new_threeway,7,text_logreg,0.46779720897367955,0.6415094339622641,0.5581395348837209
cmw_new_threeway,7,text_mlp_oversampled,0.41656234061297354,0.660377358490566,0.448062015503876
cmw_new_threeway,7,gcn_weighted,0.33771929824561403,0.5849056603773585,0.3581395348837209
cmw_new_threeway,7,graphsage_tinybert,0.35505050505050506,0.6037735849056604,0.36589147286821705
cmw_new_threeway,8,majority,0.2986111111111111,0.8113207547169812,0.3333333333333333
cmw_new_threeway,8,text_logreg,0.4890462357782619,0.7358490566037735,0.537984496124031
cmw_new_threeway,8,text_mlp_oversampled,0.5426829268292682,0.7735849056603774,0.6124031007751938
