,,macro_f1,macro_f1,accuracy,accuracy,balanced_accuracy,balanced_accuracy
,,mean,std,mean,std,mean,std
task,model,,,,,,
cmw_new_pro_vs_not_pro,gcn_weighted,0.4756,0.0408,0.7943,0.09,0.5021,0.0857
cmw_new_pro_vs_not_pro,graphsage_tinybert,0.4792,0.0387,0.8509,0.1069,0.5099,0.0727
cmw_new_pro_vs_not_pro,majority,0.4783,0.0027,0.917,0.0097,0.5,0.0
cmw_new_pro_vs_not_pro,text_logreg,0.6269,0.0689,0.8415,0.0379,0.6862,0.0957
cmw_new_pro_vs_not_pro,text_mlp_oversampled,0.6079,0.0688,0.8226,0.0298,0.6899,0.1341
cmw_new_threeway,gcn_weighted,0.3267,0.0502,0.634,0.0946,0.331,0.0507
cmw_new_threeway,graphsage_tinybert,0.3443,0.0795,0.6604,0.131,0.3641,0.0883
cmw_new_threeway,majority,0.3009,0.002,0.8226,0.0097,0.3333,0.0
cmw_new_threeway,text_logreg,0.52,0.0676,0.7509,0.0517,0.5687,0.0775
cmw_new_threeway,text_mlp_oversampled,0.4619,0.09,0.7245,0.0428,0.5033,0.1184
